"","celltype","nUMI"
"161","acinar",55309.3564595368
"162","duct",31391.1916219145
"163","alpha",24358.0623733264
"164","acinar",38642.2996809258
"165","alpha",43819.7782197595
"166","acinar",50343.7587252157
"167","alpha",26894.2367797042
"168","acinar",51223.0837980217
"169","duct",24665.500391168
"170","duct",30568.6757068089
"171","duct",38250.6470111092
"172","alpha",34785.2854005295
"173","beta",37733.1113836977
"174","duct",61717.9127269644
"175","acinar",18416.403096463
"176","acinar",44268.2043194453
"177","alpha",33883.0055659278
"178","alpha",136679.483054879
"179","acinar",59559.4058135797
"180","pp",17185.2468819543
"181","duct",30901.5802918939
"182","beta",36233.685130518
"183","pp",12218.1675410471
"184","acinar",34876.0938948066
"185","duct",34327.4799007114
"186","beta",24219.4814685577
"187","alpha",22765.8989120301
"188","alpha",29632.9638639622
"189","alpha",14368.8736916775
"190","duct",19967.1989254727
"191","acinar",45819.5359992881
"192","mesenchymal",51018.6792198398
"193","beta",7287.56271377412
"194","acinar",38917.4746167002
"195","acinar",60795.1918007398
"196","acinar",62175.5286788262
"197","acinar",31307.53773119
"198","acinar",29128.4111936312
"199","acinar",51929.0559375861
"200","mesenchymal",58641.6217409784
"201","alpha",6803.1394834252
"202","beta",16323.9776153001
"203","acinar",34404.2289646901
"204","delta",30627.7194627278
"205","alpha",31065.591660483
"206","mesenchymal",37706.5042291868
"207","alpha",31508.1513888373
"208","mesenchymal",71823.7693426184
"209","acinar",59920.5532553973
"210","mesenchymal",48195.129327178
"211","duct",41851.2352288522
"212","acinar",59933.7406118113
"213","acinar",51581.0675838169
"214","alpha",25851.2319477486
"215","alpha",27976.0398446915
"216","duct",14925.4435608447
"217","beta",48257.9692903327
"218","alpha",26580.8952123469
"219","duct",35808.5864709899
"220","beta",48571.6622710944
"221","acinar",47282.9558875556
"222","acinar",62803.4304980225
"223","beta",6104.83487125515
"224","alpha",25078.1158405312
"225","alpha",38262.193637744
"226","duct",26299.0403203292
"227","mesenchymal",41431.6851382933
"228","duct",64656.0269101261
"229","acinar",47532.1669166645
"230","beta",22331.2021684608
"231","acinar",58466.0868474285
"232","alpha",29961.5823296984
"233","duct",32235.2301896259
"234","duct",11382.5886248443
"235","duct",42227.5828270735
"236","beta",12702.9636880192
"237","acinar",33169.5696810338
"238","delta",12187.3601427911
"239","alpha",44638.9018954893
"240","alpha",22052.2232447409
"241","acinar",53284.095998062
"242","duct",12723.990474046
"243","duct",25707.0534631376
"244","acinar",40708.1040061371
"245","acinar",52846.9300411723
"246","mesenchymal",60240.7394218116
"247","acinar",52888.7971513241
"248","acinar",33202.2218815572
"249","alpha",44365.193469109
"250","beta",37064.9709431939
"251","acinar",43062.0317953001
"252","acinar",49733.6588698659
"253","acinar",50641.5183856945
"254","mesenchymal",40685.2674260416
"255","alpha",25590.9760552896
"256","duct",51546.9841960408
"257","acinar",58956.2908684914
"258","acinar",45183.2797132402
"259","duct",18559.696965963
"260","acinar",52801.1067435469
"261","alpha",25783.0422714182
"262","beta",31844.2314302928
"263","beta",234666.450442607
"264","alpha",9964.1088589003
"265","acinar",48216.5470350298
"266","acinar",57388.3982270919
"267","alpha",23622.7956789023
"268","pp",42290.0619209078
"269","alpha",16622.1973665654
"270","alpha",30894.4766953106
"271","alpha",21498.1404895074
"272","duct",26527.012954322
"273","alpha",18480.8514374481
"274","duct",7007.15472253797
"275","alpha",40529.0497893266
"276","acinar",56150.3637966878
"277","delta",26872.2154070402
"278","acinar",57890.8225770011
"279","acinar",30285.1564644961
"280","acinar",56616.8047715303
"281","duct",55834.9152260831
"282","alpha",41179.5930172543
"283","duct",33232.4928807917
"284","acinar",62463.323146572
"285","acinar",52465.4993383281
"286","alpha",19771.449506168
"287","alpha",32505.1928551778
"288","acinar",82139.1353574521
"289","alpha",24017.2352462924
"290","acinar",79304.5667732121
"291","beta",28893.9641197393
"292","alpha",18491.7122291584
"293","mesenchymal",12840.2593521854
"294","delta",47384.3418712007
"295","mesenchymal",37400.7325511863
"296","acinar",31270.8251830808
"297","duct",11858.2276243128
"298","alpha",39950.0560626149
"299","acinar",50890.7155313294
"300","duct",90648.2487616151
"301","endothelial",36214.089608629
"302","duct",36758.2265607929
"303","mesenchymal",75914.6295059604
"304","duct",33634.4740530659
"305","duct",31656.2743033467
"306","alpha",46808.0577826524
"307","duct",29686.0849967705
"308","alpha",17349.6909492267
"309","acinar",50129.2537615459
"310","alpha",21215.0761049807
"311","alpha",18405.107396997
"312","mesenchymal",39628.246835411
"313","alpha",22308.2950036901
"314","alpha",23995.2798870649
"315","delta",20817.3594643809
"316","alpha",29241.7340573708
"317","duct",37965.5390779902
"318","beta",39220.0908693139
"319","duct",46488.4863592882
"320","duct",71088.9991469742
"321","pp",19425.6008313086
"322","acinar",54252.9585314621
"323","alpha",20270.7148834229
"324","beta",14638.6965194638
"325","acinar",16020.1286544062
"326","duct",20090.2883160211
"327","duct",10577.1850130401
"328","endothelial",111821.706869908
"329","acinar",53748.1632282128
"330","duct",39311.291384232
"331","delta",23553.7099506961
"332","acinar",49449.0106243314
"333","acinar",81576.0503718242
"334","mesenchymal",58070.5137452827
"335","mesenchymal",71289.687005568
"336","mesenchymal",54118.6999147687
"337","alpha",15785.5850847048
"338","acinar",33046.3209696287
"339","acinar",54501.5739109218
"340","duct",63815.8916887425
"341","beta",29701.9435579758
"342","alpha",28732.1499163291
"343","duct",57548.1542120595
"344","beta",38679.4282331772
"345","duct",11071.9838813286
"346","alpha",22675.404042528
"347","endothelial",19942.1168952336
"348","delta",12268.4742493301
"349","alpha",6037.80064468484
"350","alpha",10997.0269859983
"351","alpha",10238.24051229
"352","delta",16738.4647729289
"353","alpha",19898.5358236064
"354","pp",10008.894906202
"355","alpha",10449.2705402048
"356","pp",6247.61196572087
"357","delta",11085.1480353323
"358","alpha",15803.6873610946
"359","alpha",9870.06839866807
"360","alpha",22036.7348956219
"361","alpha",16745.1863882956
"362","beta",20244.2596739306
"363","beta",8538.89399478893
"364","alpha",6598.00528106529
"365","alpha",16590.8669341995
"366","alpha",13497.4231917338
"367","pp",6636.08394383817
"368","alpha",15024.043330706
"369","delta",8807.71540603376
"370","alpha",20691.0645191693
"371","pp",10482.5014330542
"372","beta",10018.6770766574
"373","alpha",20795.4421721246
"374","alpha",7693.28765536769
"375","beta",7539.58719138816
"376","beta",8300.58516720512
"377","alpha",22664.1582507183
"378","delta",16187.1885371563
"379","alpha",17349.0404169312
"380","delta",11033.7149654362
"381","alpha",11893.6817726906
"382","alpha",24571.1246164623
"383","beta",28947.2289948972
"384","delta",22698.9110600118
"385","alpha",30324.2568254136
"386","alpha",13124.2340143309
"387","beta",27677.8163699554
"388","beta",22937.318540658
"389","duct",36930.9681052015
"390","alpha",32449.0232533232
"391","delta",11084.7842257259
"392","delta",33395.3034437192
"393","pp",13587.0107774116
"394","alpha",17909.2411349392
"395","alpha",24260.7149200045
"396","mesenchymal",61260.4869844786
"397","alpha",11819.5301179014
"398","duct",17876.0058157118
"399","pp",7641.67501328627
"400","pp",14135.0842911215
"401","acinar",37230.3182533366
"402","alpha",22504.54430326
"403","beta",21979.4795142447
"404","pp",14433.5687651417
"405","pp",15848.0350434915
"406","pp",10653.2787554847
"407","delta",10930.2450485092
"408","beta",11780.9683194482
"409","alpha",20746.3235817181
"410","beta",14849.853294857
"411","beta",24850.095525501
"412","beta",25800.5308387319
"413","alpha",24310.903688297
"414","beta",18987.3469174632
"415","beta",18055.9495581036
"416","delta",13255.896670765
"417","beta",20958.5709617545
"418","pp",14769.8492577348
"419","alpha",8554.91560257248
"420","beta",17080.5645060663
"421","alpha",27124.7477018728
"422","pp",13444.3464083664
"423","beta",16361.0534711803
"424","delta",11277.100166084
"425","beta",7489.52446228388
"426","mesenchymal",40835.2711813939
"427","alpha",19685.0750391197
"428","delta",16047.4927673909
"429","beta",17484.9214642997
"430","alpha",16804.3322507534
"431","duct",12949.38498967
"432","alpha",19113.3143521388
"433","delta",11832.0893792505
"434","delta",13075.8556808969
"435","beta",11515.8316205054
"436","duct",24315.9692866278
"437","alpha",15500.780069947
"438","alpha",9970.99092248286
"439","delta",15789.2078291438
"440","beta",16184.8226944768
"441","pp",9211.89731050017
"442","beta",25227.9614628325
"443","alpha",15945.7995662669
"444","beta",6111.22119339006
"445","alpha",13331.6744453702
"446","beta",13571.4565479278
"447","beta",16954.1421757695
"448","alpha",21286.3841604581
"449","beta",12037.4895118479
"450","alpha",9504.76887234179
"451","alpha",17366.2399518033
"452","delta",12594.4141520954
"453","alpha",14152.0493487578
"454","alpha",14841.7628158413
"455","alpha",16499.4119068957
"456","alpha",16870.5360345156
"457","alpha",17003.3108398583
"458","pp",10529.1825123336
"459","pp",9964.22438189318
"460","alpha",20110.8741960179
"461","delta",13320.2547682831
"462","pp",11061.996115052
"463","alpha",18745.419978032
"464","duct",12514.5447228595
"465","beta",20659.7189681297
"466","alpha",11224.9636960504
"467","alpha",22533.4579935026
"468","beta",19199.57922125
"469","duct",11300.1819938347
"470","beta",23295.1483906113
"471","duct",43967.427396311
"472","pp",14843.7741222117
"473","pp",10751.0945539496
"474","beta",17167.223408938
"475","duct",18370.2346082914
"476","beta",24779.2225614817
"477","duct",29058.1671880818
"478","pp",13657.8687293469
"479","duct",22962.2825726948
"480","beta",22302.15908971
"481","alpha",16218.4340442557
"482","pp",21001.9481683848
"483","alpha",23654.2127781864
"484","beta",17408.4858976036
"485","alpha",23581.4362873948
"486","beta",18986.9313952163
"487","alpha",9164.21040885139
"488","alpha",16628.0614558338
"489","alpha",14979.8849381036
"490","pp",11098.2624171072
"491","beta",12956.2462382116
"492","beta",19055.8677640056
"493","beta",18985.5691379552
"494","delta",11890.6161470105
"495","alpha",14816.8681254069
"496","pp",20400.1628688831
"497","duct",11558.9667582692
"498","beta",23137.7083368958
"499","alpha",8567.64075718793
"500","alpha",20039.372493978
"501","pp",6948.87230663221
"502","alpha",20909.6573449668
"503","alpha",14317.2805595996
"504","pp",6406.51655769187
"505","alpha",8356.92470391929
"506","beta",11200.8316222822
"507","acinar",7860.99288522717
"508","beta",8691.62081830926
"509","delta",10970.2619557069
"510","delta",9091.90156591794
"511","delta",13974.4430027308
"512","beta",10383.8708070605
"513","delta",9231.42966959747
"514","pp",8269.49876171982
"515","pp",7203.25601492296
"516","duct",27711.9402491038
"517","alpha",11955.6592034894
"518","beta",13927.5509973144
"519","alpha",11718.5151100298
"520","beta",16767.8329174756
"521","beta",9905.91091981718
"522","alpha",7208.94475156941
"523","beta",7700.92181005266
"524","alpha",20583.4191470107
"525","alpha",11469.9679571391
"526","alpha",9507.72524851122
"527","pp",9745.76465270342
"528","alpha",17393.9039731914
"529","alpha",13291.5494559833
"530","beta",7571.26416036854
"531","beta",14262.4579443963
"532","alpha",17561.8933403118
"533","beta",18821.7663555549
"534","alpha",9090.63139460328
"535","alpha",17607.162453107
"536","delta",15059.1492487264
"537","pp",9958.43861163113
"538","delta",19886.054610961
"539","alpha",22352.9046905538
"540","beta",14499.862682863
"541","alpha",17083.2451530006
"542","beta",10084.0308911579
"543","beta",19302.3665318582
"544","alpha",13651.6579694633
"545","alpha",16281.1552851919
"546","alpha",23275.3473160857
"547","delta",11583.4915209256
"548","delta",12862.6631692482
"549","beta",19484.7591201397
"550","alpha",15592.134063565
"551","beta",18692.9296577088
"552","beta",15317.2270422831
"553","alpha",21468.7293114391
"554","beta",6198.65049302004
"555","delta",19701.6744800774
"556","pp",11568.7123495413
"557","alpha",11190.9669676383
"558","mesenchymal",39338.5685593421
"559","alpha",11282.3325958881
"560","alpha",21473.0060430867
"561","alpha",19736.4156032888
"562","beta",16450.2091518124
"563","alpha",17763.9808921396
"564","alpha",15569.9971174426
"565","delta",10280.0424709854
"566","beta",7836.91363689608
"567","alpha",12964.9514503623
"568","delta",11070.3159263687
"569","beta",17411.7155791669
"570","beta",7141.51988096767
"571","alpha",27161.8207031128
"572","alpha",17207.4982104676
"573","beta",12305.0574688532
"574","alpha",11746.7828598981
"575","pp",6937.08584165191
"576","pp",7692.97262502564
"577","alpha",12952.7014420335
"578","pp",6435.93216953828
"579","mesenchymal",20430.4155421099
"580","alpha",7649.82326565388
"581","alpha",12045.7647174937
"582","alpha",7715.23261933224
"583","alpha",11247.0975089431
"584","alpha",8046.52200985894
"585","delta",10860.9646310887
"586","alpha",14817.3271355368
"587","beta",11398.4436107673
"588","pp",6739.28603901033
"589","alpha",15418.3322788572
"590","beta",13644.4525776447
"591","alpha",12758.9752786949
"592","alpha",11666.743744903
"593","beta",12706.3428143509
"594","alpha",12920.1566678553
"595","alpha",12014.3619616382
"596","alpha",9421.90541905038
"597","beta",8101.31175712087
"598","alpha",11938.2728771358
"599","alpha",13261.338933628
"600","alpha",10946.5019917396
"601","alpha",12988.9870423359
"602","beta",15160.3726275984
"603","delta",15059.0090381641
"604","beta",13415.9152946714
"605","delta",16471.8673160247
"606","beta",12872.4216522117
"607","duct",26758.7976498622
"608","alpha",43389.4085049439
"609","duct",35420.4093064183
"610","pp",12764.1336053212
"611","alpha",15977.1581776458
"612","alpha",16975.1996169558
"613","alpha",12040.7171303694
"614","beta",14334.0162983331
"615","alpha",15655.2422867543
"616","alpha",36842.8272188155
"617","alpha",13552.2012844592
"618","alpha",19735.3430837363
"619","alpha",15901.778676292
"620","beta",16028.7065787598
"621","alpha",19935.1641168757
"622","alpha",26578.1227752212
"623","alpha",21777.07006254
"624","beta",15467.2729582609
"625","delta",11454.0751037596
"626","alpha",17412.5947849192
"627","alpha",19067.1346115538
"628","beta",10196.2939491035
"629","alpha",15473.8956697489
"630","alpha",13888.5230060005
"631","alpha",11570.8144897541
"632","beta",17104.4218860929
"633","alpha",9220.78263272413
"634","alpha",11104.1938634006
"635","alpha",13372.3604728713
"636","beta",9303.11318291096
"637","alpha",14601.1767534709
"638","delta",8736.81886877171
"639","mesenchymal",64698.7085513601
"640","delta",8761.58700009956
"641","epsilon",7254.28244052678
"642","alpha",13911.5443054269
"643","pp",10917.3729974592
"644","beta",14189.8606959569
"645","delta",8003.95335760197
"646","beta",16979.2059527358
"647","alpha",20921.0968625933
"648","beta",22626.522524699
"649","alpha",19096.4504124503
"650","pp",19060.9676682723
"651","alpha",6740.55901003697
"652","alpha",21200.2961753736
"653","beta",19964.6242680784
"654","alpha",16435.7567683483
"655","beta",22660.9846853412
"656","beta",14099.4802220996
"657","alpha",13859.5871714258
"658","alpha",14221.3507561929
"659","alpha",17732.919928083
"660","beta",19930.866696999
"661","beta",15598.8315554346
"662","beta",13192.7485594678
"663","beta",24816.5971280236
"664","alpha",13065.6098056931
"665","beta",12162.8937238015
"666","alpha",10732.4977691862
"667","delta",20528.6916474677
"668","alpha",30133.5182809101
"669","beta",14742.0816817469
"670","alpha",18953.8383657571
"671","delta",17447.8485539552
"672","beta",7866.96521462739
"673","alpha",15822.5355084655
"674","beta",8384.12307057955
"675","beta",22878.8481731472
"676","alpha",9640.86058667771
"677","alpha",20245.8401610277
"678","delta",16364.3301835219
"679","beta",24191.5923263106
"680","alpha",31494.4352050033
"681","pp",8898.04660032448
"682","beta",18967.2620779742
"683","beta",18851.6374779085
"684","alpha",30537.0482870185
"685","beta",41760.5044675732
"686","alpha",17566.0794431281
"687","alpha",16217.713082679
"688","beta",20219.0347148257
"689","alpha",19767.9791405342
"690","beta",28929.5919002858
"691","beta",7782.40997109782
"692","beta",17869.8586115065
"693","beta",18506.5375029076
"694","duct",59599.2272730335
"695","alpha",19124.1979878927
"696","delta",10786.2829322746
"697","alpha",7138.55326827197
"698","alpha",30632.5325296383
"699","beta",22197.837562311
"700","beta",19185.7812701335
"701","alpha",19448.4344592002
"702","acinar",8719.5992514114
"703","alpha",14259.790742906
"704","delta",7195.40851210245
"705","delta",12918.1931161746
"706","pp",11563.535907127
"707","alpha",26019.1684133192
"708","delta",10348.3152941598
"709","beta",21726.0311949353
"710","alpha",34657.1755424004
"711","duct",29247.0601531805
"712","beta",16734.4432703156
"713","alpha",18173.409714465
"714","alpha",13694.2308839807
"715","beta",17572.2507964481
"716","pp",15308.9919608868
"717","pp",12886.9362474204
"718","alpha",15753.9380279307
"719","pp",9149.96041847513
"720","delta",6891.17649447154
"721","pp",9252.53945023797
"722","beta",11285.5657217938
"723","alpha",14402.2952514229
"724","alpha",22498.7941029459
"725","alpha",23164.4149923078
"726","delta",6793.53649533351
"727","alpha",15634.0780765746
"728","alpha",11010.9926214673
"729","alpha",9490.31204861408
"730","beta",11077.9229525099
"731","alpha",12941.7875761896
"732","delta",18098.8396938291
"733","beta",17363.9773268529
"734","pp",8654.26863282433
"735","alpha",23577.9545928583
"736","alpha",12928.8032248495
"737","beta",11581.5893192937
"738","alpha",9721.29642607299
"739","alpha",23064.0859158125
"740","alpha",9869.32078439342
"741","beta",28613.6456468297
"742","delta",13059.6004328993
"743","delta",6869.76822044351
"744","alpha",48124.5573208882
"745","beta",20389.9825970098
"746","alpha",9121.1596479912
"747","alpha",10030.4367734542
"748","alpha",15674.0634158542
"749","alpha",13894.6251019321
"750","pp",9528.91756968256
"751","beta",17534.8839443279
"752","alpha",18350.652092722
"753","alpha",14738.3840338666
"754","beta",19682.0173307806
"755","alpha",16676.8803913411
"756","beta",9377.37219600282
"757","delta",12775.6222204998
"758","alpha",23157.2977775412
"759","alpha",15598.8820004114
"760","delta",20421.8771219607
"761","beta",17265.8651476029
"762","alpha",20720.9595342112
"763","beta",22601.3374574461
"764","beta",18436.1036135207
"765","beta",40541.894050404
"766","alpha",25552.8448920211
"767","beta",20936.4190310222
"768","beta",23829.6186211581
"769","alpha",21678.4751758646
"770","alpha",11759.0316885548
"771","alpha",7057.01350360308
"772","delta",9064.42639958724
"773","pp",7340.85591937469
"774","alpha",31285.4633787107
"775","alpha",8751.29633292163
"776","alpha",12934.4393712234
"777","alpha",9572.908528075
"778","alpha",22085.6776587964
"779","beta",18838.3239321315
"780","beta",9164.71764783443
"781","delta",8481.30678769383
"782","acinar",13491.8560884551
"783","alpha",12022.909586253
"784","pp",7297.45145997098
"785","beta",17130.9536002487
"786","beta",13827.1191751861
"787","beta",16177.010982995
"788","endothelial",7387.00074900317
"789","delta",10966.3022563935
"790","duct",11989.132368557
"791","delta",12980.8781369081
"792","alpha",13009.9845601002
"793","delta",9315.31697550251
"794","pp",14080.4692942266
"795","beta",9085.82881264731
"796","alpha",12089.8339820472
"797","alpha",10389.5598834064
"798","pp",13078.9171583084
"799","pp",12792.041252415
"800","pp",8710.1495622375
"801","beta",19702.4740115141
"802","alpha",11585.6270802639
"803","beta",11456.9702907041
"804","pp",8762.3900285875
"805","beta",30797.3568451125
"806","beta",13015.9818030255
"807","alpha",18590.0506759402
"808","alpha",18559.4951538432
"809","beta",21085.5553129089
"810","alpha",16585.29709305
"811","alpha",19098.570343304
"812","beta",14994.1987670621
"813","acinar",34097.8415150388
"814","alpha",17167.8749064048
"815","alpha",17143.7365999757
"816","beta",21908.9517558001
"817","delta",18569.8237613073
"818","alpha",17470.4774994945
"819","alpha",27503.9756683379
"820","alpha",22794.0402869669
"821","beta",30046.7805099931
"822","alpha",14506.2519816488
"823","pp",14651.9192418281
"824","pp",13104.1245990743
"825","duct",12026.892994443
"826","delta",8204.69624404837
"827","alpha",24158.4752233846
"828","alpha",16464.150598131
"829","beta",41310.3722969578
"830","beta",21527.8524700485
"831","alpha",28400.8932543153
"832","epsilon",13587.1368181967
"833","alpha",21143.7068962715
"834","alpha",10808.9113337652
"835","beta",19290.1613031284
"836","beta",16703.5160946536
"837","alpha",23984.4095352211
"838","pp",11253.6092957741
"839","delta",10386.5590250949
"840","delta",24065.1825782666
"841","alpha",15921.0705241154
"842","delta",10202.3184131474
"843","alpha",20933.4799220183
"844","alpha",21068.1312200068
"845","alpha",18302.2623632769
"846","beta",21289.7388965425
"847","beta",23582.196614455
"848","beta",6353.34002063415
"849","alpha",10629.6487626199
"850","alpha",22105.1042273657
"851","pp",17105.7694325776
"852","pp",11827.7238282855
"853","alpha",13657.3421004233
"854","mesenchymal",29692.6883880403
"855","alpha",11048.5807582429
"856","beta",9148.35979271433
"857","delta",13679.4916030803
"858","beta",9943.04842953483
"859","beta",8839.83438464026
"860","delta",8370.80677827583
"861","alpha",10248.1547892473
"862","delta",17211.1870384375
"863","alpha",11732.5979106616
"864","pp",9342.12548897875
"865","alpha",8968.64909305324
"866","beta",14580.7249779778
"867","alpha",7505.34073047602
"868","alpha",10689.2762062592
"869","alpha",9357.33520066228
"870","alpha",12497.5144814171
"871","alpha",9662.1219439447
"872","alpha",10545.2346046568
"873","alpha",8444.52305336548
"874","beta",6680.94559268543
"875","alpha",6505.24380143506
"876","alpha",6986.31735774486
"877","alpha",16116.7714085659
"878","alpha",6037.30304380523
"879","pp",6474.26499921075
"880","alpha",11820.2791412848
"881","delta",7179.62044013424
"882","pp",6088.25801783273
"883","beta",15682.8932516202
"884","beta",13288.4801420855
"885","alpha",11311.7605724079
"886","beta",36468.6864025822
"887","delta",12361.650718285
"888","alpha",10275.6987661742
"889","alpha",10397.8270868932
"890","alpha",8664.43291157535
"891","alpha",11925.0197495548
"892","delta",19707.738184879
"893","duct",33493.7700497373
"894","alpha",13152.1790318094
"895","alpha",14252.9351781973
"896","alpha",12946.1956320965
"897","beta",8518.85439365427
"898","delta",6688.1064572743
"899","delta",7332.75484365529
"900","delta",7963.61006218763
"901","beta",8744.19000020396
"902","duct",19825.1754394612
"903","alpha",10771.1794086638
"904","alpha",15242.2544753307
"905","delta",9473.09359934697
"906","delta",12589.9297542612
"907","delta",8446.89563952484
"908","alpha",18231.2132693236
"909","delta",9719.06188932151
"910","alpha",15207.0923790965
"911","beta",13546.591059539
"912","beta",13734.2928893744
"913","duct",16428.9046482796
"914","beta",7497.54502483363
"915","beta",8435.30637764715
"916","beta",11681.6706279136
"917","beta",7923.648256219
"918","alpha",21846.2601896228
"919","alpha",14001.0179360124
"920","acinar",26549.5415472408
"921","delta",10021.6658779789
"922","acinar",14878.8484056601
"923","alpha",17996.4420889161
"924","acinar",44482.0378382048
"925","beta",6166.99611642729
"926","beta",8469.3083213303
"927","duct",28942.5759413142
"928","beta",13048.0077105919
"929","delta",10775.8841950724
"930","duct",10423.3728786646
"931","alpha",21643.9107161504
"932","acinar",57776.805012061
"933","beta",17571.4294625455
"934","acinar",33707.7272353864
"935","acinar",29582.0912087753
"936","mesenchymal",42045.1939219769
"937","alpha",13369.7909974061
"938","acinar",11092.3945513943
"939","beta",10364.2191245179
"940","acinar",14454.7807277698
"941","beta",9871.09500743584
"942","beta",11343.2849770176
"943","alpha",7028.89825744034
"944","alpha",13165.1197598528
"945","delta",11614.144322876
"946","beta",13383.4665023624
"947","alpha",12614.8765591224
"948","mesenchymal",25347.290191541
"949","beta",13460.6128900753
"950","duct",6466.87460660026
"951","alpha",9872.93406166885
"952","endothelial",25752.3334225374
"953","alpha",15526.5647164387
"954","alpha",6778.02354514773
"955","acinar",33472.9706191666
"956","acinar",50684.5715478669
"957","alpha",26184.6904336824
"958","beta",22600.37117904
"959","acinar",34740.5540635536
"960","alpha",9176.06398538699
"961","duct",17929.786361624
"962","acinar",16783.9030177831
