"","dim1","dim2"
"b.cells1052",-13.8818260364423,-113.298866064301
"b.cells5111",-14.2551876323891,-97.8305666405085
"b.cells2999",-18.994824619739,-90.7622626445607
"b.cells267",-13.0465534485152,-82.5405569139794
"b.cells3093",-27.2651750972462,-96.1633422736146
"b.cells7411",-26.5046157818829,-97.6343639214702
"b.cells355",-3.23483896280632,-103.201184387832
"b.cells5642",-1.89399198309623,-108.473953395556
"b.cells2798",-17.6584652624605,-100.911543325123
"b.cells2039",-3.85166120717125,-85.9060537623974
"b.cells1335",-48.4431747082785,-89.1897062843501
"b.cells3251",-32.1062846979875,-75.0452380263802
"b.cells1548",-8.87597464747465,-103.01005982795
"b.cells1297",-0.768683784159543,-104.311548899791
"b.cells4346",-5.74573434454618,-99.1878391472921
"b.cells386",-24.4487293389911,-85.8796012454724
"b.cells7116",-7.34239902584429,-96.6022227706841
"b.cells1006",-13.9392529115895,-104.892925124437
"b.cells9478",-28.7827259051447,-83.7962446821943
"b.cells1215",-11.070438089845,-88.9209174833775
"b.cells2191",-35.0567156748835,-87.7753684218196
"b.cells9104",-9.69689855692269,-103.25478187267
"b.cells9430",-26.6591981369445,-86.9016853346269
"b.cells2783",-34.0868122719687,-98.9431338813525
"b.cells1231",-33.6837839025249,-96.5351933460945
"b.cells7945",-15.0248589732141,-103.225630073468
"b.cells7417",-11.1642771367895,-102.89251383624
"b.cells9127",-14.142724058097,-91.4115348190834
"b.cells9910",-19.3105389777018,-102.282280187167
"b.cells9388",-15.3835133453615,-79.9233019806808
"b.cells4843",-5.7912339496602,-103.917405392958
"b.cells2824",-35.5560907211029,-89.7255933912516
"b.cells2506",50.4043241657238,-71.8883865809829
"b.cells5012",-6.19076351214048,-89.9616031625662
"b.cells4949",-9.89645788155118,-93.6553551078137
"b.cells3171",-28.8768136666227,-88.5107151422377
"b.cells9579",-32.1876382404586,-99.5373260404296
"b.cells6312",-15.078760723814,-120.498734075193
"b.cells1269",-25.7081444352153,-92.225469599193
"b.cells4211",-18.8425071868048,-101.680930447577
"b.cells9099",67.9616658338391,-74.6710104688435
"b.cells4655",-38.678105417735,-87.8995252926314
"b.cells9036",-9.43376907562911,-109.229711899285
"b.cells5947",25.7203093233702,-77.7396094248538
"b.cells6284",-10.8324834353633,-88.6596083816512
"b.cells8645",-31.1341486920737,-102.883074343639
"b.cells5000",-25.6852171750797,-100.499795234831
"b.cells9782",-26.4250999098501,-99.2441816533205
"b.cells3226",-26.2579012251337,-77.5844795204068
"b.cells4786",-17.1186326142886,-85.5355667507041
"b.cells3549",5.00194370792502,-100.422581899173
"b.cells6238",-12.2482221297918,-93.9091991853826
"b.cells7371",-15.7779538464619,-101.797497973475
"b.cells5625",-36.060438214465,-94.7760321991016
"b.cells9747",-6.96952547335134,-86.2058173516868
"b.cells5732",-39.9034044099877,-94.1581396851564
"b.cells4362",2.67562292300629,-99.418322192645
"b.cells2271",15.7063350243654,-83.8742731052059
"b.cells817",-14.6751353024383,-94.8237164620275
"b.cells8445",-18.6326472972355,-85.1992579049347
"b.cells2331",-10.451101064096,-96.4971963048491
"b.cells9813",-29.625868653024,-85.6266613667674
"b.cells5977",-43.8814631921266,-90.7559261471192
"b.cells9916",0.81961830663687,-101.175120424271
"b.cells3729",-37.5512184305577,-87.7487105866971
"b.cells5511",-8.43828757414789,-78.3318961277949
"b.cells4263",-5.36105647750321,-100.805570301491
"b.cells5716",-38.0496701795146,-61.4734575470227
"b.cells4292",-1.86295144606065,-95.0000881655008
"b.cells2231",-28.4244354621652,-99.3228423153832
"b.cells844",-29.5367689503554,-94.8160686469392
"b.cells6322",-25.5216803206496,-91.8398271880493
"b.cells4276",-22.6932626702971,-107.572801429176
"b.cells722",7.28138927896329,-101.008527928991
"b.cells7958",-12.228357921735,-116.2891002731
"b.cells9943",-15.6407247370707,-99.8153056869607
"b.cells7509",-30.0160062300715,-101.446674443138
"b.cells5793",-58.3227514045906,-89.699287614734
"b.cells7027",21.3660293525134,-87.6909783091581
"b.cells4233",-19.1912137460386,-98.880860760997
"b.cells3406",-24.5409579233795,-100.934944174998
"b.cells7523",1.57704411449454,-110.661010056648
"b.cells4202",-18.6362342235872,-107.980132738997
"b.cells5558",-8.43336847976857,-102.731828361112
"b.cells1151",-29.1487169340551,-100.350587598143
"b.cells3002",-35.1709556355126,-97.1930326001236
"b.cells4743",-17.6096970091738,-91.0906357603981
"b.cells3416",35.2653527198198,-77.5838381903149
"b.cells5949",-0.500358160927543,-86.9427954336374
"b.cells754",-19.5050589513121,-91.5734241183287
"b.cells9466",-21.7322383960821,-79.066493739462
"b.cells220",-17.6244587045691,-90.3206957674715
"b.cells8333",-18.3513577984608,-103.909850044926
"b.cells6260",10.010212943614,-75.4647106238847
"b.cells3070",-28.328219487524,-78.9905830426087
"b.cells7349",-23.4625623635056,-71.637250841359
"b.cells6323",-28.9594382652176,-93.6937498414144
"b.cells9820",39.0409323392643,-81.684253778256
"b.cells9953",-33.7755094694939,-90.8243052187362
"b.cells8738",27.4343497181364,-72.0694682050007
"b.cells8013",9.09632328754523,-112.199757545821
"b.cells8129",-10.9120689814845,-109.439962090259
"b.cells8255",4.32881636148061,-94.119369073583
"b.cells7246",17.2461521912937,-64.0388244520381
"b.cells9720",-21.3291009099072,-85.2778274046765
"b.cells6320",-1.64264408919264,-82.511095883148
"b.cells6532",-1.14777194178838,-97.6032622657986
"b.cells5223",3.41533006734056,-93.3916617700117
"b.cells3138",11.7205459912499,-103.823222134053
"b.cells7588",-35.7625760349164,-97.3799325857504
"b.cells5201",7.8846456511064,-98.1568101616406
"b.cells7236",-12.7299446392512,-107.691849504038
"b.cells3040",-6.74213401730869,-96.2784331012598
"b.cells3993",-26.861536810496,-92.4127102375829
"b.cells2019",-54.2842587996361,-86.7940994015092
"b.cells9735",-24.4355107011175,-102.068691020485
"b.cells5593",-4.02148353984635,-120.645055624683
"b.cells2769",33.8006726323159,-82.1448770565533
"b.cells1828",-10.5502684895041,-106.745468202705
"b.cells7484",15.4129698039283,-107.034649818757
"b.cells5595",-8.03552251296056,-101.186667526815
"b.cells9201",-26.8094382294498,-93.8759365939543
"b.cells6304",37.0578394590379,-75.0987616196302
"b.cells6915",-6.84003969022422,-109.484271110476
"b.cells4729",-7.43443908660314,-88.2965986197208
"b.cells8390",-44.4005902584312,-87.3400613344618
"b.cells4167",-9.20490625259939,-74.4704157932665
"b.cells310",-34.2458247500262,-85.1798253690106
"b.cells2547",-13.0811222842309,-105.155282427733
"b.cells3303",-33.8380425332656,-89.4346060721877
"b.cells1317",-12.0136507114659,-97.2820779317704
"b.cells4926",18.093283893353,-66.3716357451208
"b.cells7909",-14.1808018649273,-96.0543676914885
"b.cells3324",-2.47947048560314,-83.0375806402579
"b.cells5017",-22.9512701177942,-99.1227098214932
"b.cells4874",-22.2472526648816,-95.7084117711069
"b.cells7855",26.2848013529225,-85.4883743578829
"b.cells5587",-12.3061734527359,-108.510787526904
"b.cells9991",-19.1201579574503,-109.269900977909
"b.cells7957",-6.25860887354515,-92.8472619204273
"b.cells9854",19.0800871424571,-80.9303849214093
"b.cells2091",-35.5439496730795,-88.7734586942796
"b.cells7383",-50.7088682511453,-93.2375898071335
"b.cells3026",-16.4427346225861,-104.420739126527
"b.cells4821",-9.36174025734591,-88.8920019442132
"b.cells9745",-31.3512485252293,-102.95147735446
"b.cells4176",16.2509035146926,-69.3021347733504
"b.cells2406",-10.6338563390956,-101.692117153866
"b.cells2138",-31.0548516440782,-85.8315329385846
"b.cells6783",-19.2118051581651,-82.5389507461069
"b.cells9647",19.6191853495022,-75.2126083041854
"b.cells4695",-9.30369747236909,-97.1850470549571
"b.cells7611",-16.1818762890964,-88.1248196670753
"b.cells5651",8.72599833959338,-94.2896794692367
"b.cells9502",-8.77107390161651,-95.6049844664549
"b.cells7839",-24.6229678000233,-90.933008027354
"b.cells5232",17.598492331319,-79.1669229398157
"b.cells5868",-23.5362183086416,-93.1398405296611
"b.cells2595",-25.7148344209949,-92.5194487514322
"b.cells2749",-36.0486185106816,-90.9663393579067
"b.cells641",-26.1024639583363,-96.7563409394919
"b.cells5536",-18.5312016603415,-87.6517675123263
"b.cells2579",-32.0942226665831,-82.7246458818727
"b.cells33",-10.6661466225215,-75.2927171628349
"b.cells5794",-21.8919478025336,-92.860255660457
"b.cells9990",-9.72940170338547,-90.3498549969325
"b.cells8299",-24.2672200771887,-96.9491557363181
"b.cells291",-16.1290988797763,-58.2690184416001
"b.cells5892",-26.0192365176339,-98.814565631885
"b.cells2637",-24.173346375302,-85.610153009463
"b.cells1185",2.1283192331807,-105.911644618469
"b.cells989",0.0444627723282206,-101.777951227901
"b.cells7347",-23.5255957803349,-88.1976949083642
"b.cells157",-24.474377481639,-99.3163090907745
"b.cells486",-36.9660364811325,-83.842144008562
"b.cells7339",-19.2469403500505,-102.431753633009
"b.cells3507",-26.785129706986,-92.1452285028811
"b.cells7449",-4.77872777409194,-74.7682060546071
"b.cells3690",26.9373507245148,-88.9489926783197
"b.cells7845",-29.4691643561391,-104.956908126531
"b.cells253",-15.5697726854826,-103.946168348799
"b.cells4968",-19.0230433980054,-87.85288387805
"b.cells8056",-18.7548684107404,-92.3042891718663
"b.cells5343",-10.678926555213,-73.1335099457526
"b.cells2616",-29.736480944123,-93.9819087406064
"b.cells3380",-28.0730141372694,-97.9886395779745
"b.cells3620",-5.85210052781237,-102.750766561777
"b.cells4209",-18.9049375624982,-87.1638703251305
"b.cells9005",-8.18520015299528,-97.4369948412593
"b.cells7689",-31.2626956141125,-83.0615135768927
"b.cells7232",8.86059074109434,-70.9222797048673
"b.cells2752",-6.66330128728449,-85.1981418770109
"b.cells4477",-32.6193880536917,-90.4973766455033
"b.cells2818",-38.8975406408025,-90.6678232948477
"b.cells6822",-19.1716781590891,-91.3241987110539
"b.cells8041",4.31492710475595,-80.618595805175
"b.cells6418",-27.0325503871044,-88.7392115202248
"b.cells4050",-24.2663766830007,-98.7003506267173
"b.cells9322",-20.7175203854493,-101.730469865868
"b.cells2381",-13.9663282440365,-108.767992089974
"b.cells5960",-20.2046472730546,-97.0358028149385
"b.cells7421",-24.3574316821933,-86.9492338597246
"b.cells6791",-10.2602684349337,-99.259042044626
"b.cells1130",-16.0819582244173,-99.3842521022985
"b.cells6224",-40.147070828076,-93.2760521604335
"b.cells3025",-32.6860431660875,-91.2296725926922
"b.cells3455",-21.9596173470856,-95.3849853040983
"b.cells9598",-22.4175957072874,-83.8358910419356
"b.cells5272",-12.2046816503825,-86.2370252941475
"b.cells4344",-41.6491868505805,-74.4281402924255
"b.cells9286",-28.7170068578008,-88.6945279951121
"b.cells4426",-19.5941773745787,-84.9043873858011
"b.cells1865",22.7581123161427,-77.6720193713417
"b.cells9696",-9.39592542951648,-105.837004595385
"b.cells5363",-11.1875865825568,-100.286470748537
"b.cells7516",1.21573119772132,-103.40661667955
"b.cells8929",-13.3392906044203,-93.8089848112729
"b.cells6667",-7.95719959385361,-104.312072959645
"b.cells3981",-21.62911322427,-92.769704681158
"b.cells3983",-40.1989704735672,-93.4158769332627
"b.cells1428",41.6668520949088,-52.5701600702989
"b.cells1922",7.4741025681922,-80.8478709305342
"b.cells1878",18.3413819860451,-98.0645755311446
"b.cells3990",-8.72815094136459,-103.357807828855
"b.cells3402",-40.7319358312824,-100.016738528205
"b.cells8151",-40.9980242168402,-94.9298483611896
"b.cells1938",-10.76847140816,-91.2732195832704
"b.cells8415",-16.2111194017621,-103.10608869806
"b.cells3878",-15.157053165594,-107.013277035091
"b.cells1497",-39.5973406798671,-100.205077818887
"b.cells10041",-27.6674608473094,-92.4566089793575
"b.cells3584",-25.1342350485902,-93.3936493683674
"b.cells4171",10.9201097349845,-71.1493552395666
"b.cells1819",-40.9520082209792,-95.4654006264276
"b.cells6421",2.96119423053378,-95.5427201169617
"b.cells8980",-28.7973694877937,-73.4082269156401
"b.cells7160",-24.287708085138,-92.141732247781
"b.cells8607",-21.1677233431081,-102.586976197145
"b.cells9298",17.7987378758441,-84.1721097016248
"b.cells1901",-32.5242149376345,-81.5665124772309
"b.cells4609",-33.2571186198907,-90.8705529286834
"b.cells3764",-6.25660085960786,-100.699960114833
"b.cells3648",-27.9442926508445,-94.9820130880527
"b.cells272",17.4138809147716,-59.2891980726054
"b.cells9059",-22.2930298007211,-104.203240359012
"b.cells4002",-27.5190401495808,-79.515966155413
"b.cells9315",-5.28062095666775,-97.2161816613982
"b.cells2652",24.2220069830231,-96.1447605003425
"b.cells5040",-23.642717177803,-85.6028860508463
"b.cells9531",-5.05929045062327,-101.271068976846
"b.cells3602",-21.7548201470461,-98.577504113685
"b.cells3024",-33.140780183842,-84.8329253582381
"b.cells334",-11.6402249610136,-59.983280960904
"b.cells6501",-44.4020967923977,-90.0991590576963
"b.cells8967",-16.1925390628749,-93.5933780835788
"b.cells439",-5.91963795323411,-97.1420211856106
"b.cells1959",37.025903721124,-78.5935090071409
"b.cells7238",-8.38624871692718,-91.7559710056706
"b.cells1271",-26.5713827862814,-92.2032051620954
"b.cells6899",24.0511636048111,-82.3462926723433
"b.cells9887",-18.9755776772041,-99.8490222235124
"b.cells9185",-3.3865669660544,-106.908062962529
"b.cells5769",-7.76768456993395,-84.0187876233701
"b.cells7115",-24.8172249027295,-94.572604771593
"b.cells4735",-23.2483860015168,-98.7770857287516
"b.cells7472",-4.94534453138105,-83.3741022878084
"b.cells31",-40.5709537409259,-92.8773632910909
"b.cells5426",-35.1607863596432,-91.2185067878165
"b.cells4476",-13.1935312388869,-102.682921066097
"b.cells3206",-5.11254151499632,-92.5791738652436
"b.cells8122",25.1944206107049,-78.8080492881743
"b.cells9504",-18.4307562019966,-92.4705855425012
"b.cells6420",-38.324630908967,-91.8107246606419
"b.cells2270",-22.1310944375622,-72.3213418714251
"b.cells7961",-19.3971440480354,-99.4791751027005
"b.cells7042",-19.2795235755457,-101.761754118083
"b.cells9486",4.05091782331777,-106.542377807468
"b.cells2576",-34.6541350994862,-88.7971564656741
"b.cells8536",-25.4875780146698,-94.3077306993045
"b.cells4739",-21.0055035456568,-96.4324734403176
"b.cells2967",-13.5518621622116,-97.107776899227
"b.cells3837",8.83922038250291,-67.6400665079577
"b.cells7373",-24.2304163888714,-85.7694159417576
"b.cells979",-13.2724549069119,-73.3754834460027
"b.cells4091",-13.6174647101001,-93.2440651278617
"b.cells6385",-37.2884519348439,-82.6996399186903
"b.cells2866",15.6848130045461,-109.208146869458
"b.cells1999",2.62892950189839,-69.8704092841562
"b.cells21",-37.2907462609656,-91.3749243550541
"b.cells1047",-42.8920930412399,-109.650729784536
"b.cells2085",-23.7655634966813,-87.5909502628306
"b.cells1117",-26.7945720774147,-103.443527701029
"b.cells6665",-42.0842389819352,-92.2271982305259
"b.cells1875",-28.9188096053123,-81.4959184114938
"b.cells9551",-23.6521558591207,-69.3388999413748
"b.cells9183",-12.662241911973,-100.221685079143
"b.cells6707",-33.7680122410422,-85.2835078367571
"b.cells7173",-9.19674584301143,-84.8659950780857
"b.cells7100",-30.5991224574772,-88.9574861757016
"b.cells6325",-33.8989702012389,-104.539061157678
"b.cells1619",-2.35499928435773,-89.6388643952043
"b.cells8946",-18.0094770106882,-100.818637484058
"b.cells5471",-6.14023538531505,-60.9073824413429
"b.cells10010",4.24060083626483,-81.1377223911176
"b.cells183",-2.30719092194773,-99.4999570757956
"b.cells9941",-20.2487743811854,-79.6383186281638
"b.cells6647",-3.2519603609455,-93.3295164950106
"b.cells4035",-13.4657820145171,-97.2339726041943
"b.cells7331",-15.1344670940294,-98.9193884501489
"b.cells7512",12.0550580391984,-113.467654932494
"b.cells5553",19.246718694786,-79.486424440516
"b.cells1827",-25.4947949321375,-103.003866409595
"b.cells7340",1.28079307359167,-70.3535076577797
"b.cells897",-22.0602781535864,-103.933722676735
"b.cells6023",-6.5694073768398,-90.0045301407779
"b.cells4025",-43.0737377658774,-97.8646475863735
"b.cells7513",-3.75698531804768,-79.698422727795
"b.cells7815",-10.5675119629437,-88.2071750782522
"b.cells9357",-37.597245468588,-85.3402440389198
"b.cells2089",-2.29752882920001,-87.4105140575723
"b.cells8385",2.56761222312112,-90.7755902397365
"b.cells4032",-19.8359598615268,-94.2566902180488
"b.cells4961",-33.6587930671857,-90.2167327184432
"b.cells7493",-12.7007932127228,-101.447102010601
"b.cells1282",-13.5868572785275,-81.9757488024231
"b.cells3982",-25.7103115906073,-93.4975397164121
"b.cells6399",-1.32160225304739,-77.4158942419518
"b.cells8773",-23.9220984648599,-75.3150816868103
"b.cells3329",-4.27592513416415,-84.0274191107775
"b.cells1017",-14.4795239448244,-77.9163955259971
"b.cells9008",45.0546133071752,-64.744947809318
"b.cells1932",-10.4324190516037,-90.2959481715667
"b.cells522",-26.2733162261178,-104.857589048247
"b.cells4113",-20.6972043490313,-101.80632703198
"b.cells3272",-1.39145356637785,-104.726503618763
"b.cells2662",-9.71049284989116,-100.595990107951
"b.cells6407",-12.470760268034,-65.260235782008
"b.cells7568",-38.1241426258783,-94.5806105158014
"b.cells4245",-28.6987802485316,-90.3352391523406
"b.cells9756",53.7768522448285,-62.5271146473087
"b.cells2628",-20.3608262143744,-99.841153968204
"b.cells6360",-17.1025019212721,-96.9152618380651
"b.cells3670",-9.33271148149649,-101.324078960026
"b.cells9025",-28.4837120970132,-95.0856841644055
"b.cells7096",-14.2035497837136,-71.6238921361674
"b.cells5693",-15.6343984685939,-85.3823322198026
"b.cells7858",-22.5572952045577,-87.86065855229
"b.cells8510",-24.7050595598792,-105.735799640146
"b.cells7189",-39.1147583775259,-98.7676920295191
"b.cells4839",-6.52133735908549,-86.2495030835381
"b.cells9742",-31.057283392629,-92.2581648403199
"b.cells5353",-14.6299827808662,-84.7205281459503
"b.cells8480",-16.5013267838561,-95.2414813399032
"b.cells6077",32.2428064350123,-84.908040961455
"b.cells5910",-38.5854462301767,-91.7805350213356
"b.cells324",-31.1788570970206,-100.720781348092
"b.cells2455",-18.2124444337079,-86.0252668682886
"b.cells7476",-25.2126905392624,-86.050106699691
"b.cells9617",18.3630567026397,-56.7169252382508
"b.cells9248",-26.538176014839,-103.486290232432
"b.cells7233",-26.2286756201863,-93.42616037401
"b.cells6554",-34.266127226082,-81.3316256801174
"b.cells2378",-9.49437599514923,-100.606117930933
"b.cells5840",45.6458415761307,-81.3894262400168
"b.cells5526",-31.2661172354066,-97.2247125017212
"b.cells478",-19.0957872166678,-86.5709797407597
"b.cells3589",-9.42989428535004,-80.2482546727175
"b.cells8612",-2.67760522379424,-112.003967965657
"b.cells3771",-2.09308263225478,-101.197953833542
"b.cells4975",5.74651253018763,-67.2968098716298
"b.cells1687",-2.71061609076492,-110.885536059939
"b.cells1853",-23.3313543970762,-103.298077345621
"b.cells5257",-14.0812424923159,-104.618819121985
"b.cells3782",-33.9970334064471,-83.6399402411266
"b.cells6013",-24.9212917539661,-99.7243260398553
"b.cells5503",-49.2587197310597,-98.6577234545102
"b.cells1353",-17.2201501739491,-98.4676436948128
"b.cells2782",-32.5204928289642,-98.1995895337576
"b.cells6",-8.72820873599543,-93.0227068492848
"b.cells9778",-39.9458469353819,-93.46338925947
"b.cells3839",-26.8974118016978,-79.6515744442969
"b.cells9390",-14.6503977394706,-99.2235061609936
"b.cells4918",-27.5696129091133,-95.5632601108699
"b.cells4489",-32.8238705007712,-72.7843574577499
"b.cells6954",-25.7407447575611,-96.0213632455987
"b.cells1365",-5.88009292928673,-106.756798510835
"b.cells5029",-15.8579352157473,-96.5037783590759
"b.cells5383",0.841552323955062,-95.4137747868693
"b.cells6342",-2.92421694775036,-94.3570282069409
"b.cells3575",-38.9039715815138,-97.2777382017889
"b.cells1308",-11.3432275028267,-90.0077439017291
"b.cells710",-35.5528929767503,-94.9879394109551
"b.cells7310",-12.6639126438558,-81.7881917613078
"b.cells6746",-23.0624133009892,-88.59422610464
"b.cells7332",-31.7513842078891,-85.1601264335993
"b.cells1508",-14.1092528622097,-102.758376925921
"b.cells5751",-17.6841791878949,-92.1201840912869
"b.cells7324",-26.8575880393773,-84.7623546820165
"b.cells8756",45.9016681646577,-83.0827277200274
"b.cells2955",-24.2496055048554,-89.9974164079736
"b.cells6302",-21.1664966434756,-86.2596508950254
"b.cells3240",12.3843476968717,-79.2340599470811
"b.cells5795",-34.8594556565491,-88.5399007655865
"b.cells805",-37.1348652783651,-101.39188144926
"b.cells5807",-17.4309852821665,-89.8830680381561
"b.cells5713",-13.4632372721315,-88.5244924119014
"b.cells6412",-5.42341729563586,-84.2632269892104
"b.cells7678",13.3432937656443,-80.6737518174032
"b.cells8198",-45.5093508856695,-103.676193561706
"b.cells481",-4.85379499800689,-95.0075379240194
"b.cells6462",-28.9997272946386,-100.89440379195
"b.cells8104",-10.0538783423617,-89.5369812789422
"b.cells7150",-19.3869578382629,-101.582576326301
"b.cells7946",-6.32522989524722,-99.0862432010588
"b.cells1225",-26.4955280965762,-95.3150683399698
"b.cells7605",-16.3962675392163,-103.136447187022
"b.cells3404",-9.88106901461505,-97.1641202694888
"b.cells9077",-13.2805315504853,-84.7004201238708
"b.cells8905",-13.5552553261744,-98.4134905896386
"b.cells5671",-30.7732799622185,-92.9714997225065
"b.cells1058",-32.1117970172479,-102.929571525187
"b.cells7502",-24.6027316274701,-88.1220394323835
"b.cells5759",6.62373035579001,-113.072719456487
"b.cells845",-4.17857560326823,-92.5337454095943
"b.cells6289",-47.8356930722826,-72.2552919110038
"b.cells3177",1.9282725178928,-97.534706147764
"b.cells7991",12.1326699724149,-92.4699606480616
"b.cells2370",1.01358138041431,-72.5773433372201
"b.cells3478",-35.441456595298,-90.9098864277539
"b.cells8842",-35.0081410678684,-99.0804070547609
"b.cells5384",-25.9877070133935,-100.177866936593
"b.cells7714",-6.82465932666334,-101.87935794679
"b.cells373",-22.0440523684659,-95.949191487053
"b.cells381",-23.0516091779222,-93.052814779211
"b.cells6046",-15.4467760363176,-102.566646837442
"b.cells2285",-11.9903536235477,-93.6044146623178
"b.cells2413",-20.955857362268,-102.637274613523
"b.cells5968",-19.9520170702895,-95.4284512481333
"b.cells3876",31.6042045338012,-61.7051478473683
"b.cells7628",-23.3269012924807,-78.788416882806
"b.cells1122",-26.2352951502663,-105.284850481951
"b.cells9498",-22.7337905991169,-90.8608674657762
"b.cells6206",-38.7736668527213,-88.5273303346489
"b.cells9898",-5.40728343449182,-110.172630083235
"b.cells7137",-33.4495825132228,-79.5106578696673
"b.cells4910",-20.5950784449044,-100.442675769733
"b.cells3631",-15.9931148362699,-94.9002023969144
"b.cells5835",-20.2336463769026,-85.0849625826073
"b.cells9219",-9.86631183660015,-105.674462699405
"b.cells2060",-0.740013155374509,-96.2815766191918
"b.cells7144",-38.8161042373112,-100.788888661184
"b.cells4125",-14.7812424513836,-112.024821329761
"b.cells7904",-30.6552608766255,-98.3413057346247
"b.cells8426",-18.4751610924909,-95.7878163997807
"b.cells9345",-35.539331317561,-90.8414500632173
"b.cells8716",-5.37591800504132,-90.1264029173858
"b.cells2456",-26.8368586911293,-103.630759682838
"b.cells2131",-34.5519505580151,-90.8190337490742
