"","x"
"192","mesenchymal"
"193","beta"
"194","acinar"
"195","acinar"
"196","acinar"
"197","acinar"
"198","acinar"
"199","acinar"
"200","mesenchymal"
"201","alpha"
"202","beta"
"203","acinar"
"204","delta"
"205","alpha"
"206","mesenchymal"
"207","alpha"
"208","mesenchymal"
"209","acinar"
"210","mesenchymal"
"211","duct"
"212","acinar"
"213","acinar"
"214","alpha"
"215","alpha"
"216","duct"
"217","beta"
"218","alpha"
"219","duct"
"220","beta"
"221","acinar"
"222","acinar"
"223","beta"
"224","alpha"
"225","alpha"
"226","duct"
"227","mesenchymal"
"228","duct"
"229","acinar"
"230","beta"
"231","acinar"
"232","alpha"
"233","duct"
"234","duct"
"235","duct"
"236","beta"
"237","acinar"
"238","delta"
"239","alpha"
"240","alpha"
"241","acinar"
"242","duct"
"243","duct"
"244","acinar"
"245","acinar"
"246","mesenchymal"
"247","acinar"
"248","acinar"
"249","alpha"
"250","beta"
"251","acinar"
"252","acinar"
"253","acinar"
"254","mesenchymal"
"255","alpha"
"256","duct"
"257","acinar"
"258","acinar"
"259","duct"
"260","acinar"
"261","alpha"
"262","beta"
"263","beta"
"264","alpha"
"265","acinar"
"266","acinar"
"267","alpha"
"268","pp"
"269","alpha"
"270","alpha"
"271","alpha"
"272","duct"
"273","alpha"
"274","duct"
"275","alpha"
"276","acinar"
"277","delta"
"278","acinar"
"279","acinar"
"280","acinar"
"281","duct"
"282","alpha"
"283","duct"
"284","acinar"
"285","acinar"
"286","alpha"
"287","alpha"
"288","acinar"
"289","alpha"
"290","acinar"
"291","beta"
"292","alpha"
"293","mesenchymal"
"294","delta"
"295","mesenchymal"
"296","acinar"
"297","duct"
"298","alpha"
"299","acinar"
"300","duct"
"301","endothelial"
"302","duct"
"303","mesenchymal"
"304","duct"
"305","duct"
"306","alpha"
"307","duct"
"308","alpha"
"309","acinar"
"310","alpha"
"311","alpha"
"312","mesenchymal"
"313","alpha"
"314","alpha"
"315","delta"
"316","alpha"
"317","duct"
"318","beta"
"319","duct"
"320","duct"
"321","pp"
"322","acinar"
"323","alpha"
"324","beta"
"325","acinar"
"326","duct"
"327","duct"
"328","endothelial"
"329","acinar"
"330","duct"
"331","delta"
"332","acinar"
"333","acinar"
"334","mesenchymal"
"335","mesenchymal"
"336","mesenchymal"
"337","alpha"
"338","acinar"
"339","acinar"
"340","duct"
"341","beta"
"342","alpha"
"343","duct"
"344","beta"
"345","duct"
"346","alpha"
"347","endothelial"
"348","delta"
"349","alpha"
"350","alpha"
"351","alpha"
"352","delta"
"353","alpha"
"354","pp"
"355","alpha"
"356","pp"
"357","delta"
"358","alpha"
"359","alpha"
"360","alpha"
"361","alpha"
"362","beta"
"363","beta"
"364","alpha"
"365","alpha"
"366","alpha"
"367","pp"
"368","alpha"
"369","delta"
"370","alpha"
"371","pp"
"372","beta"
"373","alpha"
"374","alpha"
"375","beta"
"376","beta"
"377","alpha"
"378","delta"
"379","alpha"
"380","delta"
"381","alpha"
"382","alpha"
"383","beta"
"384","delta"
"385","alpha"
"386","alpha"
"387","beta"
"388","beta"
"389","duct"
"390","alpha"
"391","delta"
"392","delta"
"393","pp"
"394","alpha"
"395","alpha"
"396","mesenchymal"
"397","alpha"
"398","duct"
"399","pp"
"400","pp"
"401","acinar"
"402","alpha"
"403","beta"
"404","pp"
"405","pp"
"406","pp"
"407","delta"
"408","beta"
"409","alpha"
"410","beta"
"411","beta"
"412","beta"
"413","alpha"
"414","beta"
"415","beta"
"416","delta"
"417","beta"
"418","pp"
"419","alpha"
"420","beta"
"421","alpha"
"422","pp"
"423","beta"
"424","delta"
"425","beta"
"426","mesenchymal"
"427","alpha"
"428","delta"
"429","beta"
"430","alpha"
"431","duct"
"432","alpha"
"433","delta"
"434","delta"
"435","beta"
"436","duct"
"437","alpha"
"438","alpha"
"439","delta"
"440","beta"
"441","pp"
"442","beta"
"443","alpha"
"444","beta"
"445","alpha"
"446","beta"
"447","beta"
"448","alpha"
"449","beta"
"450","alpha"
"451","alpha"
"452","delta"
"453","alpha"
"454","alpha"
"455","alpha"
"456","alpha"
"457","alpha"
"458","pp"
"459","pp"
"460","alpha"
"461","delta"
"462","pp"
"463","alpha"
"464","duct"
"465","beta"
"466","alpha"
"467","alpha"
"468","beta"
"469","duct"
"470","beta"
"471","duct"
"472","pp"
"473","pp"
"474","beta"
"475","duct"
"476","beta"
"477","duct"
"478","pp"
"479","duct"
"480","beta"
"481","alpha"
"482","pp"
"483","alpha"
"484","beta"
"485","alpha"
"486","beta"
"487","alpha"
"488","alpha"
"489","alpha"
"490","pp"
"491","beta"
"492","beta"
"493","beta"
"494","delta"
"495","alpha"
"496","pp"
"497","duct"
"498","beta"
"499","alpha"
"500","alpha"
"501","pp"
"502","alpha"
"503","alpha"
"504","pp"
"505","alpha"
"506","beta"
"507","acinar"
"508","beta"
"509","delta"
"510","delta"
"511","delta"
"512","beta"
"513","delta"
"514","pp"
"515","pp"
"516","duct"
"517","alpha"
"518","beta"
"519","alpha"
"520","beta"
"521","beta"
"522","alpha"
"523","beta"
"524","alpha"
"525","alpha"
"526","alpha"
"527","pp"
"528","alpha"
"529","alpha"
"530","beta"
"531","beta"
"532","alpha"
"533","beta"
"534","alpha"
"535","alpha"
"536","delta"
"537","pp"
"538","delta"
"539","alpha"
"540","beta"
"541","alpha"
"542","beta"
"543","beta"
"544","alpha"
"545","alpha"
"546","alpha"
"547","delta"
"548","delta"
"549","beta"
"550","alpha"
"551","beta"
"552","beta"
"553","alpha"
"554","beta"
"555","delta"
"556","pp"
"557","alpha"
"558","mesenchymal"
"559","alpha"
"560","alpha"
"561","alpha"
"562","beta"
"563","alpha"
"564","alpha"
"565","delta"
"566","beta"
"567","alpha"
"568","delta"
"569","beta"
"570","beta"
"571","alpha"
"572","alpha"
"573","beta"
"574","alpha"
"575","pp"
"576","pp"
"577","alpha"
"578","pp"
"579","mesenchymal"
"580","alpha"
"581","alpha"
"582","alpha"
"583","alpha"
"584","alpha"
"585","delta"
"586","alpha"
"587","beta"
"588","pp"
"589","alpha"
"590","beta"
"591","alpha"
"592","alpha"
"593","beta"
"594","alpha"
"595","alpha"
"596","alpha"
"597","beta"
"598","alpha"
"599","alpha"
"600","alpha"
"601","alpha"
"602","beta"
"603","delta"
"604","beta"
"605","delta"
"606","beta"
"607","duct"
"608","alpha"
"609","duct"
"610","pp"
"611","alpha"
"612","alpha"
"613","alpha"
"614","beta"
"615","alpha"
"616","alpha"
"617","alpha"
"618","alpha"
"619","alpha"
"620","beta"
"621","alpha"
"622","alpha"
"623","alpha"
"624","beta"
"625","delta"
"626","alpha"
"627","alpha"
"628","beta"
"629","alpha"
"630","alpha"
"631","alpha"
"632","beta"
"633","alpha"
"634","alpha"
"635","alpha"
"636","beta"
"637","alpha"
"638","delta"
"639","mesenchymal"
"640","delta"
"641","epsilon"
"642","alpha"
"643","pp"
"644","beta"
"645","delta"
"646","beta"
"647","alpha"
"648","beta"
"649","alpha"
"650","pp"
"651","alpha"
"652","alpha"
"653","beta"
"654","alpha"
"655","beta"
"656","beta"
"657","alpha"
"658","alpha"
"659","alpha"
"660","beta"
"661","beta"
"662","beta"
"663","beta"
"664","alpha"
"665","beta"
"666","alpha"
"667","delta"
"668","alpha"
"669","beta"
"670","alpha"
"671","delta"
"672","beta"
"673","alpha"
"674","beta"
"675","beta"
"676","alpha"
"677","alpha"
"678","delta"
"679","beta"
"680","alpha"
"681","pp"
"682","beta"
"683","beta"
"684","alpha"
"685","beta"
"686","alpha"
"687","alpha"
"688","beta"
"689","alpha"
"690","beta"
"691","beta"
"692","beta"
"693","beta"
"694","duct"
"695","alpha"
"696","delta"
"697","alpha"
"698","alpha"
"699","beta"
"700","beta"
"701","alpha"
"702","acinar"
"703","alpha"
"704","delta"
"705","delta"
"706","pp"
"707","alpha"
"708","delta"
"709","beta"
"710","alpha"
"711","duct"
"712","beta"
"713","alpha"
"714","alpha"
"715","beta"
"716","pp"
"717","pp"
"718","alpha"
"719","pp"
"720","delta"
"721","pp"
"722","beta"
"723","alpha"
"724","alpha"
"725","alpha"
"726","delta"
"727","alpha"
"728","alpha"
"729","alpha"
"730","beta"
"731","alpha"
"732","delta"
"733","beta"
"734","pp"
"735","alpha"
"736","alpha"
"737","beta"
"738","alpha"
"739","alpha"
"740","alpha"
"741","beta"
"742","delta"
"743","delta"
"744","alpha"
"745","beta"
"746","alpha"
"747","alpha"
"748","alpha"
"749","alpha"
"750","pp"
"751","beta"
"752","alpha"
"753","alpha"
"754","beta"
"755","alpha"
"756","beta"
"757","delta"
"758","alpha"
"759","alpha"
"760","delta"
"761","beta"
"762","alpha"
"763","beta"
"764","beta"
"765","beta"
"766","alpha"
"767","beta"
"768","beta"
"769","alpha"
"770","alpha"
"771","alpha"
"772","delta"
"773","pp"
"774","alpha"
"775","alpha"
"776","alpha"
"777","alpha"
"778","alpha"
"779","beta"
"780","beta"
"781","delta"
"782","acinar"
"783","alpha"
"784","pp"
"785","beta"
"786","beta"
"787","beta"
"788","endothelial"
"789","delta"
"790","duct"
"791","delta"
"792","alpha"
"793","delta"
"794","pp"
"795","beta"
"796","alpha"
"797","alpha"
"798","pp"
"799","pp"
"800","pp"
"801","beta"
"802","alpha"
"803","beta"
"804","pp"
"805","beta"
"806","beta"
"807","alpha"
"808","alpha"
"809","beta"
"810","alpha"
"811","alpha"
"812","beta"
"813","acinar"
"814","alpha"
"815","alpha"
"816","beta"
"817","delta"
"818","alpha"
"819","alpha"
"820","alpha"
"821","beta"
"822","alpha"
"823","pp"
"824","pp"
"825","duct"
"826","delta"
"827","alpha"
"828","alpha"
"829","beta"
"830","beta"
"831","alpha"
"832","epsilon"
"833","alpha"
"834","alpha"
"835","beta"
"836","beta"
"837","alpha"
"838","pp"
"839","delta"
"840","delta"
"841","alpha"
"842","delta"
"843","alpha"
"844","alpha"
"845","alpha"
"846","beta"
"847","beta"
"848","beta"
"849","alpha"
"850","alpha"
"851","pp"
"852","pp"
"853","alpha"
"854","mesenchymal"
"855","alpha"
"856","beta"
"857","delta"
"858","beta"
"859","beta"
"860","delta"
"861","alpha"
"862","delta"
"863","alpha"
"864","pp"
"865","alpha"
"866","beta"
"867","alpha"
"868","alpha"
"869","alpha"
"870","alpha"
"871","alpha"
"872","alpha"
"873","alpha"
"874","beta"
"875","alpha"
"876","alpha"
"877","alpha"
"878","alpha"
"879","pp"
"880","alpha"
"881","delta"
"882","pp"
"883","beta"
"884","beta"
"885","alpha"
"886","beta"
"887","delta"
"888","alpha"
"889","alpha"
"890","alpha"
"891","alpha"
"892","delta"
"893","duct"
"894","alpha"
"895","alpha"
"896","alpha"
"897","beta"
"898","delta"
"899","delta"
"900","delta"
"901","beta"
"902","duct"
"903","alpha"
"904","alpha"
"905","delta"
"906","delta"
"907","delta"
"908","alpha"
"909","delta"
"910","alpha"
"911","beta"
"912","beta"
"913","duct"
"914","beta"
"915","beta"
"916","beta"
"917","beta"
"918","alpha"
"919","alpha"
"920","acinar"
"921","delta"
"922","acinar"
"923","alpha"
"924","acinar"
"925","beta"
"926","beta"
"927","duct"
"928","beta"
"929","delta"
"930","duct"
"931","alpha"
"932","acinar"
"933","beta"
"934","acinar"
"935","acinar"
"936","mesenchymal"
"937","alpha"
"938","acinar"
"939","beta"
"940","acinar"
"941","beta"
"942","beta"
"943","alpha"
"944","alpha"
"945","delta"
"946","beta"
"947","alpha"
"948","mesenchymal"
"949","beta"
"950","duct"
"951","alpha"
"952","endothelial"
"953","alpha"
"954","alpha"
"955","acinar"
"956","acinar"
"957","alpha"
"958","beta"
"959","acinar"
"960","alpha"
"961","duct"
"962","acinar"
"963","alpha"
"964","beta"
"965","beta"
"966","duct"
"967","beta"
"968","acinar"
"969","alpha"
"970","alpha"
"971","alpha"
"972","duct"
"973","beta"
"974","alpha"
"975","pp"
"976","alpha"
"977","alpha"
"978","beta"
"979","alpha"
"980","acinar"
"981","duct"
"982","beta"
"983","beta"
"984","alpha"
"985","duct"
"986","duct"
"987","alpha"
"988","pp"
"989","beta"
"990","pp"
"991","duct"
"992","duct"
"993","duct"
"994","alpha"
"995","beta"
"996","alpha"
"997","acinar"
"998","alpha"
"999","duct"
"1000","alpha"
"1001","alpha"
"1002","duct"
"1003","beta"
"1004","alpha"
"1005","beta"
"1006","duct"
"1007","delta"
"1008","acinar"
"1009","alpha"
"1010","alpha"
"1011","duct"
"1012","alpha"
"1013","delta"
"1014","alpha"
"1015","alpha"
"1016","acinar"
"1017","duct"
"1018","acinar"
"1019","mesenchymal"
"1020","duct"
"1021","duct"
"1022","alpha"
"1023","beta"
"1024","mesenchymal"
"1025","acinar"
"1026","beta"
"1027","beta"
"1028","delta"
"1029","acinar"
"1030","alpha"
"1031","alpha"
"1032","alpha"
"1033","beta"
"1034","duct"
"1035","delta"
"1036","duct"
"1037","acinar"
"1038","alpha"
"1039","duct"
"1040","duct"
"1041","beta"
"1042","alpha"
"1043","alpha"
"1044","beta"
"1045","beta"
"1046","beta"
"1047","beta"
"1048","alpha"
"1049","beta"
"1050","acinar"
"1051","duct"
"1052","pp"
"1053","alpha"
"1054","alpha"
"1055","beta"
"1056","duct"
"1057","pp"
"1058","acinar"
"1059","alpha"
"1060","alpha"
"1061","beta"
"1062","beta"
"1063","alpha"
"1064","duct"
"1065","acinar"
"1066","delta"
"1067","beta"
"1068","beta"
"1069","duct"
"1070","alpha"
"1071","acinar"
"1072","duct"
"1073","duct"
"1074","duct"
"1075","delta"
"1076","mesenchymal"
"1077","alpha"
"1078","alpha"
"1079","acinar"
"1080","duct"
"1081","mesenchymal"
"1082","acinar"
"1083","duct"
"1084","alpha"
"1085","mesenchymal"
"1086","beta"
"1087","alpha"
"1088","duct"
"1089","acinar"
"1090","alpha"
"1091","alpha"
"1092","beta"
"1093","alpha"
"1094","beta"
"1095","duct"
"1096","alpha"
"1097","acinar"
"1098","mesenchymal"
"1099","delta"
"1100","beta"
"1101","alpha"
"1102","alpha"
"1103","duct"
"1104","beta"
"1105","acinar"
"1106","alpha"
"1107","duct"
"1108","acinar"
"1109","alpha"
"1110","alpha"
"1111","alpha"
"1112","pp"
"1113","beta"
"1114","alpha"
"1115","beta"
"1116","alpha"
"1117","acinar"
"1118","duct"
"1119","alpha"
"1120","alpha"
"1121","acinar"
"1122","delta"
"1123","delta"
"1124","beta"
"1125","alpha"
"1126","alpha"
"1127","duct"
"1128","acinar"
"1129","beta"
"1130","alpha"
"1131","acinar"
"1132","beta"
"1133","alpha"
"1134","pp"
"1135","alpha"
"1136","mesenchymal"
"1137","acinar"
"1138","pp"
"1139","delta"
"1140","acinar"
"1141","acinar"
"1142","duct"
"1143","beta"
"1144","delta"
"1145","beta"
"1146","acinar"
"1147","alpha"
"1148","endothelial"
"1149","pp"
"1150","acinar"
"1151","beta"
"1152","alpha"
"1153","pp"
"1154","acinar"
"1155","alpha"
"1156","duct"
"1157","duct"
"1158","duct"
"1159","beta"
"1160","alpha"
"1161","alpha"
"1162","acinar"
"1163","beta"
"1164","delta"
"1165","acinar"
"1166","alpha"
"1167","alpha"
"1168","beta"
"1169","alpha"
"1170","alpha"
"1171","delta"
"1172","pp"
"1173","alpha"
"1174","alpha"
"1175","alpha"
"1176","delta"
"1177","acinar"
"1178","beta"
"1179","alpha"
"1180","acinar"
"1181","acinar"
"1182","pp"
"1183","mesenchymal"
"1184","beta"
"1185","alpha"
"1186","beta"
"1187","alpha"
"1188","beta"
"1189","alpha"
"1190","alpha"
"1191","alpha"
"1192","beta"
"1193","alpha"
"1194","alpha"
"1195","delta"
"1196","alpha"
"1197","alpha"
"1198","alpha"
"1199","alpha"
"1200","duct"
"1201","beta"
"1202","duct"
"1203","acinar"
"1204","pp"
"1205","duct"
"1206","beta"
"1207","pp"
"1208","acinar"
"1209","alpha"
"1210","acinar"
"1211","beta"
"1212","beta"
"1213","delta"
"1214","alpha"
"1215","acinar"
"1216","beta"
"1217","alpha"
"1218","beta"
"1219","alpha"
"1220","alpha"
"1221","alpha"
"1222","acinar"
"1223","duct"
"1224","duct"
"1225","beta"
"1226","alpha"
"1227","delta"
"1228","alpha"
"1229","delta"
"1230","beta"
"1231","beta"
"1232","beta"
"1233","beta"
"1234","mesenchymal"
"1235","duct"
"1236","duct"
"1237","acinar"
"1238","duct"
"1239","acinar"
"1240","duct"
"1241","delta"
"1242","beta"
"1243","duct"
"1244","duct"
"1245","delta"
"1246","alpha"
"1247","alpha"
"1248","beta"
"1249","beta"
"1250","alpha"
"1251","beta"
"1252","alpha"
"1253","alpha"
"1254","duct"
"1255","acinar"
"1256","beta"
"1257","acinar"
"1258","beta"
"1259","acinar"
"1260","alpha"
"1261","beta"
"1262","acinar"
"1263","beta"
"1264","alpha"
"1265","beta"
"1266","alpha"
"1267","alpha"
"1268","alpha"
"1269","duct"
"1270","duct"
"1271","beta"
"1272","acinar"
"1273","alpha"
"1274","delta"
"1275","duct"
"1276","alpha"
"1277","alpha"
"1278","beta"
"1279","delta"
"1280","alpha"
"1281","alpha"
"1282","beta"
"1283","beta"
"1284","beta"
"1285","beta"
"1286","beta"
"1287","alpha"
"1288","acinar"
"1289","alpha"
"1290","alpha"
"1291","duct"
"1292","beta"
"1293","acinar"
"1294","duct"
"1295","delta"
"1296","alpha"
"1297","acinar"
"1298","delta"
"1299","duct"
"1300","acinar"
"1301","alpha"
"1302","alpha"
"1303","duct"
"1304","beta"
"1305","alpha"
"1306","alpha"
"1307","delta"
"1308","alpha"
"1309","acinar"
"1310","alpha"
"1311","alpha"
"1312","acinar"
"1313","beta"
"1314","alpha"
"1315","alpha"
"1316","duct"
"1317","duct"
"1318","alpha"
"1319","alpha"
"1320","alpha"
"1321","acinar"
"1322","acinar"
"1323","delta"
"1324","duct"
"1325","duct"
"1326","beta"
"1327","acinar"
"1328","alpha"
"1329","mesenchymal"
"1330","mesenchymal"
"1331","acinar"
"1332","beta"
"1333","duct"
"1334","mesenchymal"
"1335","mesenchymal"
"1336","delta"
"1337","beta"
"1338","alpha"
"1339","alpha"
"1340","alpha"
"1341","acinar"
"1342","alpha"
"1343","duct"
"1344","acinar"
"1345","alpha"
"1346","beta"
"1347","mesenchymal"
"1348","alpha"
"1349","duct"
"1350","pp"
"1351","endothelial"
"1352","beta"
"1353","acinar"
"1354","alpha"
"1355","acinar"
"1356","delta"
"1357","acinar"
"1358","beta"
"1359","beta"
"1360","alpha"
"1361","beta"
"1362","beta"
"1363","acinar"
"1364","beta"
"1365","duct"
"1366","acinar"
"1367","epsilon"
"1368","duct"
"1369","duct"
"1370","acinar"
"1371","alpha"
"1372","beta"
"1373","pp"
"1374","acinar"
"1375","duct"
"1376","alpha"
"1377","alpha"
"1378","duct"
"1379","delta"
"1380","acinar"
"1381","acinar"
"1382","duct"
"1383","beta"
"1384","acinar"
"1385","duct"
"1386","alpha"
"1387","delta"
"1388","beta"
"1389","alpha"
"1390","beta"
"1391","duct"
"1392","duct"
"1393","acinar"
"1394","acinar"
"1395","alpha"
"1396","alpha"
"1397","alpha"
"1398","duct"
"1399","beta"
"1400","alpha"
"1401","beta"
"1402","acinar"
"1403","acinar"
"1404","alpha"
"1405","alpha"
"1406","beta"
"1407","acinar"
"1408","beta"
"1409","duct"
"1410","acinar"
"1411","endothelial"
"1412","beta"
"1413","duct"
"1414","endothelial"
"1415","alpha"
"1416","acinar"
"1417","beta"
"1418","alpha"
"1419","duct"
"1420","beta"
"1421","acinar"
"1422","duct"
"1423","alpha"
"1424","mesenchymal"
"1425","beta"
"1426","acinar"
"1427","beta"
"1428","alpha"
"1429","alpha"
"1430","alpha"
"1431","alpha"
"1432","beta"
"1433","duct"
"1434","alpha"
"1435","beta"
"1436","alpha"
"1437","beta"
"1438","endothelial"
"1439","alpha"
"1440","alpha"
"1441","acinar"
"1442","beta"
"1443","acinar"
"1444","alpha"
"1445","pp"
"1446","duct"
"1447","alpha"
"1448","duct"
"1449","alpha"
"1450","beta"
"1451","acinar"
"1452","beta"
"1453","duct"
"1454","alpha"
"1455","duct"
"1456","alpha"
"1457","duct"
"1458","alpha"
"1459","endothelial"
"1460","alpha"
"1461","beta"
"1462","alpha"
"1463","alpha"
"1464","alpha"
"1465","acinar"
"1466","beta"
"1467","beta"
"1468","alpha"
"1469","duct"
"1470","alpha"
"1471","beta"
"1472","beta"
"1473","beta"
"1474","mesenchymal"
"1475","alpha"
"1476","alpha"
"1477","alpha"
"1478","beta"
"1479","alpha"
"1480","beta"
"1481","duct"
"1482","duct"
"1483","beta"
"1484","beta"
"1485","beta"
"1486","alpha"
"1487","alpha"
"1488","acinar"
"1489","alpha"
"1490","alpha"
"1491","delta"
"1492","beta"
"1493","alpha"
"1494","beta"
"1495","acinar"
"1496","alpha"
"1497","beta"
"1498","duct"
"1499","beta"
"1500","alpha"
"1501","beta"
"1502","acinar"
"1503","beta"
"1504","alpha"
"1505","delta"
"1506","beta"
"1507","beta"
"1508","beta"
"1509","duct"
"1510","beta"
"1511","pp"
"1512","alpha"
"1513","beta"
"1514","delta"
"1515","alpha"
"1516","beta"
"1517","acinar"
"1518","alpha"
"1519","alpha"
"1520","acinar"
"1521","beta"
"1522","alpha"
"1523","pp"
"1524","acinar"
"1525","alpha"
"1526","beta"
"1527","alpha"
"1528","pp"
"1529","delta"
"1530","mesenchymal"
"1531","duct"
"1532","duct"
"1533","beta"
"1534","duct"
"1535","alpha"
"1536","beta"
"1537","pp"
"1538","acinar"
"1539","delta"
"1540","beta"
"1541","duct"
"1542","beta"
"1543","alpha"
"1544","delta"
"1545","pp"
"1546","duct"
"1547","alpha"
"1548","endothelial"
"1549","acinar"
"1550","beta"
"1551","delta"
"1552","beta"
"1553","alpha"
"1554","duct"
"1555","alpha"
"1556","endothelial"
"1557","beta"
"1558","beta"
"1559","beta"
"1560","alpha"
"1561","acinar"
"1562","mesenchymal"
"1563","alpha"
"1564","duct"
"1565","beta"
"1566","alpha"
"1567","alpha"
"1568","acinar"
"1569","beta"
"1570","alpha"
"1571","delta"
"1572","pp"
"1573","delta"
"1574","pp"
"1575","delta"
"1576","beta"
"1577","beta"
"1578","duct"
"1579","delta"
"1580","duct"
"1581","beta"
"1582","duct"
"1583","acinar"
"1584","alpha"
"1585","beta"
"1586","beta"
"1587","duct"
"1588","alpha"
"1589","pp"
"1590","beta"
"1591","acinar"
"1592","duct"
"1593","acinar"
"1594","mesenchymal"
"1595","alpha"
"1596","duct"
"1597","acinar"
"1598","alpha"
"1599","delta"
"1600","delta"
"1601","alpha"
"1602","alpha"
"1603","alpha"
"1604","duct"
"1605","beta"
"1606","alpha"
"1607","alpha"
"1608","alpha"
"1609","acinar"
"1610","delta"
"1611","alpha"
"1612","acinar"
"1613","alpha"
"1614","alpha"
"1615","mesenchymal"
"1616","beta"
"1617","alpha"
"1618","alpha"
"1619","acinar"
"1620","acinar"
"1621","duct"
"1622","beta"
"1623","alpha"
"1624","duct"
"1625","alpha"
"1626","alpha"
"1627","beta"
"1628","alpha"
"1629","alpha"
"1630","duct"
"1631","duct"
"1632","endothelial"
"1633","beta"
"1634","duct"
"1635","alpha"
"1636","alpha"
"1637","beta"
"1638","alpha"
"1639","beta"
"1640","alpha"
"1641","acinar"
"1642","alpha"
"1643","beta"
"1644","alpha"
"1645","alpha"
"1646","alpha"
"1647","acinar"
"1648","acinar"
"1649","alpha"
"1650","beta"
"1651","alpha"
"1652","beta"
"1653","delta"
"1654","mesenchymal"
"1655","alpha"
"1656","acinar"
"1657","alpha"
"1658","beta"
"1659","alpha"
"1660","endothelial"
"1661","duct"
"1662","alpha"
"1663","alpha"
"1664","delta"
"1665","alpha"
"1666","beta"
"1667","alpha"
"1668","alpha"
"1669","duct"
"1670","beta"
"1671","alpha"
"1672","acinar"
"1673","beta"
"1674","beta"
"1675","acinar"
"1676","alpha"
"1677","delta"
"1678","duct"
"1679","alpha"
"1680","mesenchymal"
"1681","beta"
"1682","pp"
"1683","duct"
"1684","alpha"
"1685","acinar"
"1686","alpha"
"1687","alpha"
"1688","alpha"
"1689","alpha"
"1690","alpha"
"1691","acinar"
"1692","alpha"
"1693","alpha"
"1694","delta"
"1695","alpha"
"1696","delta"
"1697","alpha"
"1698","alpha"
"1699","alpha"
"1700","delta"
"1701","acinar"
"1702","alpha"
"1703","mesenchymal"
"1704","beta"
"1705","beta"
"1706","beta"
"1707","beta"
"1708","alpha"
"1709","duct"
"1710","alpha"
"1711","duct"
"1712","delta"
"1713","alpha"
"1714","acinar"
"1715","acinar"
"1716","acinar"
"1717","beta"
"1718","acinar"
"1719","beta"
"1720","alpha"
"1721","beta"
"1722","delta"
"1723","duct"
"1724","acinar"
"1725","delta"
"1726","acinar"
"1727","delta"
"1728","beta"
"1729","acinar"
"1730","beta"
"1731","duct"
"1732","mesenchymal"
"1733","acinar"
"1734","beta"
"1735","alpha"
"1736","alpha"
"1737","alpha"
"1738","alpha"
